body_type,color_variant,condition,asset_path,status
syrian,golden,happy,assets/avatars/syrian/golden/happy.png,未作成
syrian,golden,stable,assets/avatars/syrian/golden/stable.png,未作成
syrian,golden,worried,assets/avatars/syrian/golden/worried.png,未作成
syrian,golden,alert,assets/avatars/syrian/golden/alert.png,未作成
syrian,golden,insufficient_data,assets/avatars/syrian/golden/insufficient_data.png,未作成
syrian,golden,environment_discomfort,assets/avatars/syrian/golden/environment_discomfort.png,未作成
syrian,golden,activity_high,assets/avatars/syrian/golden/activity_high.png,未作成
syrian,golden,condition_concerned,assets/avatars/syrian/golden/condition_concerned.png,未作成
syrian,cream,happy,assets/avatars/syrian/cream/happy.png,未作成
syrian,cream,stable,assets/avatars/syrian/cream/stable.png,未作成
syrian,cream,worried,assets/avatars/syrian/cream/worried.png,未作成
syrian,cream,alert,assets/avatars/syrian/cream/alert.png,未作成
syrian,cream,insufficient_data,assets/avatars/syrian/cream/insufficient_data.png,未作成
syrian,cream,environment_discomfort,assets/avatars/syrian/cream/environment_discomfort.png,未作成
syrian,cream,activity_high,assets/avatars/syrian/cream/activity_high.png,未作成
syrian,cream,condition_concerned,assets/avatars/syrian/cream/condition_concerned.png,未作成
syrian,white,happy,assets/avatars/syrian/white/happy.png,未作成
syrian,white,stable,assets/avatars/syrian/white/stable.png,未作成
syrian,white,worried,assets/avatars/syrian/white/worried.png,未作成
syrian,white,alert,assets/avatars/syrian/white/alert.png,未作成
syrian,white,insufficient_data,assets/avatars/syrian/white/insufficient_data.png,未作成
syrian,white,environment_discomfort,assets/avatars/syrian/white/environment_discomfort.png,未作成
syrian,white,activity_high,assets/avatars/syrian/white/activity_high.png,未作成
syrian,white,condition_concerned,assets/avatars/syrian/white/condition_concerned.png,未作成
syrian,dark,happy,assets/avatars/syrian/dark/happy.png,未作成
syrian,dark,stable,assets/avatars/syrian/dark/stable.png,未作成
syrian,dark,worried,assets/avatars/syrian/dark/worried.png,未作成
syrian,dark,alert,assets/avatars/syrian/dark/alert.png,未作成
syrian,dark,insufficient_data,assets/avatars/syrian/dark/insufficient_data.png,未作成
syrian,dark,environment_discomfort,assets/avatars/syrian/dark/environment_discomfort.png,未作成
syrian,dark,activity_high,assets/avatars/syrian/dark/activity_high.png,未作成
syrian,dark,condition_concerned,assets/avatars/syrian/dark/condition_concerned.png,未作成
djungarian,normal,happy,assets/avatars/djungarian/normal/happy.png,未作成
djungarian,normal,stable,assets/avatars/djungarian/normal/stable.png,未作成
djungarian,normal,worried,assets/avatars/djungarian/normal/worried.png,未作成
djungarian,normal,alert,assets/avatars/djungarian/normal/alert.png,未作成
djungarian,normal,insufficient_data,assets/avatars/djungarian/normal/insufficient_data.png,未作成
djungarian,normal,environment_discomfort,assets/avatars/djungarian/normal/environment_discomfort.png,未作成
djungarian,normal,activity_high,assets/avatars/djungarian/normal/activity_high.png,未作成
djungarian,normal,condition_concerned,assets/avatars/djungarian/normal/condition_concerned.png,未作成
djungarian,sapphire,happy,assets/avatars/djungarian/sapphire/happy.png,未作成
djungarian,sapphire,stable,assets/avatars/djungarian/sapphire/stable.png,未作成
djungarian,sapphire,worried,assets/avatars/djungarian/sapphire/worried.png,未作成
djungarian,sapphire,alert,assets/avatars/djungarian/sapphire/alert.png,未作成
djungarian,sapphire,insufficient_data,assets/avatars/djungarian/sapphire/insufficient_data.png,未作成
djungarian,sapphire,environment_discomfort,assets/avatars/djungarian/sapphire/environment_discomfort.png,未作成
djungarian,sapphire,activity_high,assets/avatars/djungarian/sapphire/activity_high.png,未作成
djungarian,sapphire,condition_concerned,assets/avatars/djungarian/sapphire/condition_concerned.png,未作成
djungarian,pearl,happy,assets/avatars/djungarian/pearl/happy.png,未作成
djungarian,pearl,stable,assets/avatars/djungarian/pearl/stable.png,未作成
djungarian,pearl,worried,assets/avatars/djungarian/pearl/worried.png,未作成
djungarian,pearl,alert,assets/avatars/djungarian/pearl/alert.png,未作成
djungarian,pearl,insufficient_data,assets/avatars/djungarian/pearl/insufficient_data.png,未作成
djungarian,pearl,environment_discomfort,assets/avatars/djungarian/pearl/environment_discomfort.png,未作成
djungarian,pearl,activity_high,assets/avatars/djungarian/pearl/activity_high.png,未作成
djungarian,pearl,condition_concerned,assets/avatars/djungarian/pearl/condition_concerned.png,未作成
djungarian,cream,happy,assets/avatars/djungarian/cream/happy.png,未作成
djungarian,cream,stable,assets/avatars/djungarian/cream/stable.png,未作成
djungarian,cream,worried,assets/avatars/djungarian/cream/worried.png,未作成
djungarian,cream,alert,assets/avatars/djungarian/cream/alert.png,未作成
djungarian,cream,insufficient_data,assets/avatars/djungarian/cream/insufficient_data.png,未作成
djungarian,cream,environment_discomfort,assets/avatars/djungarian/cream/environment_discomfort.png,未作成
djungarian,cream,activity_high,assets/avatars/djungarian/cream/activity_high.png,未作成
